연번,발생일,사고유형,발생역,발생시간
498,2025-03-26,출입문관련,동묘앞(1)역,15:15
499,2025-03-26,열차내 사고,원당역,10:00
500,2025-03-25,역구내 사고,서초역,11:23
501,2025-03-25,출입문관련,이촌역,18:40
502,2025-03-25,출입문관련,홍대입구역,18:13
503,2025-03-23,발빠짐,신촌역,19:17
504,2025-03-22,열차내 사고,서울대입구역,13:19
505,2025-03-21,열차내 사고,반포역,06:08
506,2025-03-21,발빠짐,신길역,07:29
507,2025-03-20,열차내 사고,혜화역,10:40
508,2025-03-19,역구내 사고,응암역,10:11
509,2025-03-19,발빠짐,신촌역,21:44
510,2025-03-19,발빠짐,응암역,21:44
511,2025-03-18,열차내 사고,제4225열차,08:27
512,2025-03-18,발빠짐,합정(6)역,07:41
513,2025-03-17,역구내 사고,교대(2)역,17:31
514,2025-03-17,역구내 사고,대림(2)역,22:00
515,2025-03-15,승강설비관련,온수(7)역,11:31
516,2025-03-15,출입문관련,금정역,20:10
517,2025-03-14,역구내 사고,회현역,15:51
518,2025-03-14,출입문관련,대곡역,19:14
519,2025-03-13,역구내 사고,신당(6)역,16:10
520,2025-03-10,출입문관련,신용산역,18:42
521,2025-03-09,출입문관련,어린이대공원역,18:59
522,2025-03-09,열차내 사고,철산역,05:54
523,2025-03-08,출입문관련,수서역,09:35
524,2025-03-07,열차내 사고,시청(2)역,07:10
525,2025-03-06,출입문관련,화정역,19:06
526,2025-03-06,출입문관련,길음역,18:31
527,2025-03-06,출입문관련,발산역,08:35
528,2025-03-06,발빠짐,고속터미널(3)역,08:34
529,2025-03-05,출입문관련,삼성역,13:54
530,2025-03-05,출입문관련,영등포구청역,12:52
531,2025-03-04,발빠짐,압구정역,09:20
532,2025-03-02,역구내 사고,잠실(8)역,22:48
533,2025-03-01,승강설비관련,광흥창역,11:27
534,2025-03-01,발빠짐,회현역,16:13
